sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0025743528,0.0031165164,0.004133542,0.0026394224,0.0009295187,0.0027366308,0.007179213,0.61455214,0.003105902,0.0017722261
S0767,0.03144996,0.042471495,0.0011276305,0.013710347,0.0008604648,0.004584349,0.006722999,0.09075464,0.008365298,0.00085189426
S0768,0.14667323,0.3964567,0.0010127501,0.0077279545,0.0020179027,0.0045408923,0.12822038,0.9687001,0.022492414,0.0014357625
S0769,0.006325292,0.0036368023,0.016615229,0.021181278,0.0008604648,0.9954209,0.010673689,0.0050426167,0.37323374,0.002645724
S0770,0.0031847293,0.0013300697,0.0054674284,0.5876208,0.0013448539,0.9954366,0.97386676,0.0011721831,0.005287605,0.00083687465
S0771,0.02094787,0.0042596646,0.004554425,0.042309538,0.0008604648,0.017990898,0.038563833,0.04607792,0.0063538393,0.000674346
S0772,0.00708644,0.0011989635,0.010215011,0.011418619,0.0008604648,0.3048215,0.9482862,0.004688324,0.0039689206,0.0008690291
S0773,0.002494603,0.014672435,0.0065804943,0.54369617,0.0008604648,0.2645495,0.023736415,0.008430622,0.004672417,0.0015603653
S0774,0.33769798,0.0014611537,0.006420831,0.002121497,0.0008604648,0.00336184,0.0327066,0.110137686,0.006830874,0.0007009041
S0775,0.0460467,0.0020902855,0.0098905,0.026030734,0.0008604648,0.0036409062,0.9391246,0.0057064644,0.0054440284,0.00051996834
S0776,0.012246552,0.0043348493,0.889501,0.06534227,0.00095146673,0.0144598475,0.046646893,0.0075894427,0.0054531707,0.0007007255
S0777,0.005149774,0.0051297923,0.9221555,0.0117017245,0.0008604648,0.004015727,0.053731102,0.025212307,0.0077795573,0.006577216
S0778,0.8092795,0.9611379,0.00810518,0.93795174,0.0008604648,0.9474005,0.5589512,0.7277225,0.6615022,0.0006102145
S0779,0.019684501,0.009752895,0.059793167,0.042127386,0.0019089037,0.3044254,0.0072985133,0.008400098,0.030873356,0.065818585
S0780,0.020101598,0.0018647673,0.009278296,0.0064869234,0.00095146673,0.99765885,0.88566875,0.0021819086,0.003885711,0.00055048463
S0781,0.0019489152,0.005087719,0.0025372668,0.0018495093,0.0008604648,0.00090156746,0.0070063826,0.0078481585,0.0048043556,0.0011417032
S0782,0.03253759,0.013057775,0.019316066,0.0020618613,0.15957926,0.07341855,0.06920021,0.058815505,0.021892818,0.016894396
S0783,0.029263373,0.00083361426,0.0032195265,0.16070579,0.0010438613,0.5510839,0.2324813,0.0012549274,0.00666142,0.0009946447
S0784,0.3542949,0.00605621,0.0016042611,0.0018017963,0.0008604648,0.0038114437,0.006458969,0.098056234,0.0039088074,0.001590464
S0785,0.02725946,0.0025763053,0.006141677,0.019129364,0.0008604648,0.00470314,0.0070481533,0.08537274,0.20206073,0.7605149
S0786,0.0008175128,0.000908794,0.0067707542,0.88138425,0.0008604648,0.9882002,0.9493553,0.0009296568,0.0011021931,0.000555674
S0787,0.036029655,0.0010277359,0.29041088,0.15964448,0.0009295187,0.20836322,0.99279493,0.0033934903,0.001848514,0.001031675
S0788,0.9900732,0.9779067,0.007187024,0.981804,0.0011378764,0.95479244,0.99177086,0.98821044,0.9765637,0.007615345
S0789,0.006419432,0.003973349,0.003263892,0.01360248,0.0010438613,0.020409241,0.24441929,0.21414343,0.003544918,0.00067606027
S0790,0.0023043994,0.0028713194,0.0021462608,0.014194414,0.0008604648,0.005912672,0.9956968,0.0015116401,0.0023825783,0.00051459053
S0791,0.001651323,0.0012352943,0.0793691,0.86745954,0.0020179027,0.32070914,0.98788923,0.0036326179,0.0018548339,0.0010741538
S0792,0.007863504,0.0063302144,0.819421,0.010076693,0.0010438613,0.00444755,0.018097293,0.008003573,0.010704902,0.0005886458
S0793,0.005927927,0.048435245,0.004828583,0.014409635,0.969132,0.01493888,0.032285187,0.003675459,0.16691278,0.019549478
S0794,0.005186154,0.008624936,0.0027422104,0.8944561,0.0017781536,0.0015898267,0.023838567,0.09618096,0.0048678103,0.0013116933
S0795,0.020614022,0.0031023577,0.0030684974,0.0033821142,0.0010438613,0.0034929814,0.94606626,0.0066296314,0.0027587123,0.0016601509
S0796,0.0021204685,0.0013132191,0.561835,0.0032719777,0.0008604648,0.026536016,0.83554816,0.0013299829,0.0020525116,0.0010326697
S0797,0.36448675,0.003615285,0.015623543,0.024567647,0.0008604648,0.0070783314,0.005763423,0.004168892,0.9660313,0.0042907638
S0798,0.0061841216,0.047786653,0.0021979462,0.0080283405,0.79874486,0.009361815,0.006117358,0.0039283554,0.0073748543,0.002814241
S0799,0.00296254,0.006444065,0.024193022,0.21284436,0.0009295187,0.0023288922,0.043978397,0.10778415,0.0053166645,0.0036222516
S0800,0.0008903803,0.0006412801,0.0044119707,0.055131175,0.0008604648,0.9959848,0.037058637,0.00094274484,0.008895503,0.000735699
S0801,0.012116014,0.0024090721,0.17839637,0.97867924,0.0008604648,0.6480543,0.9922132,0.0014508166,0.0025547433,0.00088392256
S0802,0.0023137003,0.012549163,0.0024265458,0.039382342,0.0017781536,0.0018026868,0.022216965,0.61208713,0.004621139,0.001565446
S0803,0.007067642,0.001396137,0.20364329,0.007862976,0.0008604648,0.0016152645,0.951515,0.0014953021,0.0018446557,0.0012586436
S0804,0.0031359447,0.0070001218,0.03250743,0.12674418,0.0010438613,0.00765783,0.013868636,0.009618928,0.07425077,0.00082049525
S0805,0.019220475,0.0022303022,0.0032376773,0.32169053,0.0008604648,0.9423826,0.60953414,0.004494553,0.45688123,0.5193772
S0806,0.0010264105,0.0049923714,0.32568362,0.55734706,0.0008604648,0.3314241,0.5196069,0.002335026,0.008003172,0.00061242416
S0807,0.002260557,0.0011840223,0.96403295,0.0035065445,0.00095146673,0.0032553712,0.95116097,0.0011547216,0.008990381,0.0023044618
S0808,0.007514794,0.043883536,0.027489142,0.007570775,0.0014870082,0.018217752,0.006278545,0.0057871887,0.986621,0.020768546
S0809,0.0014628753,0.006750972,0.014692937,0.021322712,0.0017781536,0.0071072523,0.021382283,0.008937422,0.02216304,0.00088808837
S0810,0.002056423,0.0059470986,0.002544137,0.013426386,0.9783692,0.0022138455,0.006038606,0.0030715682,0.0025966787,0.0013181048
S0811,0.005512713,0.0016860514,0.0048764404,0.10953302,0.0011378764,0.9965694,0.8986915,0.0058479393,0.002794936,0.0011501302
S0812,0.002901313,0.978737,0.0033763172,0.01844229,0.0020463257,0.002260929,0.0100028645,0.006621867,0.0039772554,0.0021848995
S0813,0.0023620438,0.0065532383,0.0032347655,0.0029580365,0.9783692,0.0019013253,0.005336294,0.003295951,0.0036431334,0.0008699454
S0814,0.005425865,0.003513648,0.48535264,0.008167891,0.0013448539,0.004901878,0.008396795,0.0119759785,0.26006794,0.000735699
S0815,0.014944502,0.0011101766,0.1254032,0.27327934,0.0009295187,0.40461415,0.99288213,0.003901992,0.0029433863,0.000806668
S0816,0.019810665,0.007026908,0.0018502058,0.008753076,0.0008604648,0.0039748535,0.017082196,0.018839462,0.012438566,0.0008074955
S0817,0.0021766743,0.0019099286,0.0011369842,0.0018209907,0.0008604648,0.001668883,0.008441104,0.012829696,0.0031641033,0.0009899952
S0818,0.017874353,0.007046065,0.0018090173,0.5387148,0.0008604648,0.030170118,0.026917543,0.01659847,0.97385347,0.010119879
S0819,0.013758319,0.0025202024,0.29488796,0.9872601,0.0008604648,0.27109876,0.99051416,0.0058171516,0.008834523,0.0011356106
S0820,0.006385897,0.0009706329,0.005344947,0.0013260677,0.0008604648,0.0046186717,0.995546,0.0010832296,0.0017062755,0.0010861782
S0821,0.00084229273,0.0007894194,0.9676204,0.7582321,0.0008604648,0.105953105,0.9104095,0.00094918226,0.0062555247,0.0006592806
S0822,0.021658793,0.0010617949,0.005732842,0.004039827,0.0021076098,0.0100484695,0.9373477,0.004832365,0.0024809004,0.004265777
S0823,0.0027198985,0.002070337,0.0059556686,0.0036218285,0.0015333133,0.0021442121,0.004973,0.003028336,0.9920449,0.00066292135
S0824,0.0026276144,0.0008624393,0.0018331219,0.43816137,0.0008604648,0.98989546,0.10659703,0.0012487617,0.0010967604,0.0009292995
S0825,0.0019546603,0.0011313758,0.9312403,0.0049942834,0.0008604648,0.0034967759,0.40697217,0.0016171926,0.0052092248,0.00056880683
S0826,0.0049279253,0.03526722,0.0016524759,0.005637162,0.9513965,0.0017193133,0.0064114197,0.0029264104,0.007948196,0.0024817975
S0827,0.0010917083,0.00066827104,0.26026806,0.034041617,0.0008604648,0.89218736,0.023117078,0.0009825765,0.005855901,0.00087041757
S0828,0.00092205714,0.0015862022,0.86282045,0.27170822,0.0008604648,0.0041073035,0.009834638,0.0010593423,0.02037642,0.0008534473
S0829,0.00266008,0.0020834378,0.00428485,0.006346486,0.0016313228,0.0031277987,0.0053854515,0.001910395,0.9800283,0.00055048463
S0830,0.0015886138,0.0029285038,0.05554146,0.17782241,0.0008604648,0.512722,0.98314685,0.0008838906,0.0013298608,0.0013724844
S0831,0.17278376,0.0073587694,0.0060885902,0.06942143,0.0008604648,0.023249865,0.15241723,0.12081157,0.4255704,0.00066826213
S0832,0.015129599,0.03859682,0.004877146,0.010439612,0.9746197,0.008114939,0.066265866,0.0037430692,0.005085576,0.0030090257
S0833,0.0044757742,0.005920651,0.03577923,0.0042540254,0.0016313228,0.859956,0.005932981,0.004705055,0.0040407386,0.0019780565
S0834,0.0170878,0.015880862,0.019013606,0.065392606,0.0010438613,0.23775646,0.0067979116,0.017986655,0.9499745,0.012155916
S0835,0.024024848,0.013227862,0.0067370078,0.004980573,0.0009295187,0.0039381166,0.005350806,0.8727118,0.0045898007,0.0013018083
S0836,0.0027892815,0.0030066534,0.03018366,0.0109661585,0.0008604648,0.0023071417,0.008424502,0.0021556325,0.97458583,0.0011668903
S0837,0.0023008685,0.0096871,0.82524145,0.14902636,0.0008604648,0.0036202027,0.011709073,0.008984554,0.8645652,0.0036312805
S0838,0.006093229,0.0025180553,0.0012313877,0.001800951,0.0008604648,0.002188621,0.98270345,0.010385854,0.002972068,0.0008301119
S0839,0.018938,0.0025497505,0.015223818,0.09630408,0.0008604648,0.003732153,0.031148104,0.18851896,0.003552308,0.0038390828
S0840,0.0071340087,0.046448346,0.0047992263,0.01606635,0.0010438613,0.0046299775,0.81950325,0.02395628,0.010364297,0.0015932203
S0841,0.002311313,0.0019590463,0.0013657563,0.0040429495,0.0008604648,0.0015329521,0.006612796,0.007649945,0.006496672,0.0009795658
S0842,0.02978138,0.034768503,0.0038856338,0.03527561,0.0016086549,0.0030684567,0.03867528,0.025060816,0.2445063,0.7943436
S0843,0.024606157,0.0026253273,0.004237998,0.0017771976,0.0008604648,0.0020618946,0.94823486,0.5226565,0.0035168233,0.0010456877
S0844,0.0048511038,0.009967465,0.0035494552,0.016611317,0.0017781536,0.01360035,0.035118435,0.6110857,0.004623021,0.0017749368
S0845,0.96998054,0.9350668,0.0031666306,0.9807633,0.0008604648,0.9144205,0.98507684,0.96582973,0.99254805,0.006068352
S0846,0.008133155,0.001843069,0.0008528831,0.0024433287,0.0008604648,0.0015158779,0.009062867,0.018502124,0.0047954083,0.0007708906
S0847,0.0054795993,0.12632112,0.003749889,0.8033987,0.0011937233,0.004192289,0.04566506,0.011197433,0.0068153185,0.00141752
S0848,0.004309729,0.002273506,0.002150147,0.0020590944,0.0010438613,0.0021141616,0.9741201,0.003709418,0.0016763732,0.0021436745
S0849,0.003569832,0.0044977264,0.014671029,0.083073206,0.0008604648,0.004633396,0.33076087,0.013691622,0.22916418,0.0016779308
S0850,0.0063235927,0.015189341,0.008263571,0.0024078132,0.0017781536,0.0043056305,0.2005533,0.008294461,0.21361428,0.0015711788
S0851,0.3883901,0.110314064,0.012140408,0.029889077,0.0010795761,0.002323838,0.27060518,0.88196194,0.03693879,0.0015540808
S0852,0.00823572,0.019763175,0.011666413,0.013529762,0.0013448539,0.9765636,0.020652499,0.006986823,0.02177045,0.00061242416
S0853,0.0051175877,0.0064951065,0.24974158,0.04519784,0.0008604648,0.117585346,0.04378197,0.06641157,0.023307865,0.0014807414
S0854,0.0025440534,0.0031016706,0.0036896667,0.01806032,0.0010438613,0.014660038,0.054481816,0.011835474,0.07011192,0.000706172
S0855,0.0008443338,0.00072008965,0.71880907,0.60677433,0.0008604648,0.15866524,0.9699519,0.0018318178,0.0017491573,0.0007002018
S0856,0.0053952914,0.0024012225,0.021762485,0.0044276067,0.0010438613,0.001715984,0.009437885,0.0043854,0.79969764,0.0013860124
S0857,0.006270574,0.02589628,0.0030013993,0.8354815,0.0011378764,0.002146941,0.033312563,0.06629062,0.0037881613,0.0030657696
S0858,0.008420165,0.031176558,0.002379751,0.40561035,0.0011378764,0.0051842234,0.014622628,0.013679308,0.0072271437,0.06866017
S0859,0.17404349,0.01402082,0.0028499868,0.008259586,0.0010438613,0.01569539,0.84197026,0.015911333,0.3346818,0.8765769
S0860,0.015470168,0.0061431527,0.022186799,0.045438208,0.0019089037,0.21348491,0.0063995537,0.0038406479,0.15061365,0.12701727
S0861,0.0012989369,0.0011271294,0.21982011,0.7564276,0.0008604648,0.59013045,0.9054111,0.0016038426,0.0024367222,0.000555674
S0862,0.0020993203,0.00089388626,0.80337584,0.17416893,0.0008604648,0.04117762,0.08122204,0.0012300694,0.028926937,0.0010494076
S0863,0.012386667,0.034833837,0.004917123,0.026341109,0.0010438613,0.0016834353,0.9344961,0.008517132,0.0025982538,0.0016601509
S0864,0.002399875,0.22007714,0.0025660417,0.010282859,0.0012123551,0.005218633,0.012564534,0.0036545089,0.20674966,0.9678583
S0865,0.0011652036,0.000615251,0.0038088593,0.011215,0.0013448539,0.9966259,0.18397945,0.001141284,0.002607274,0.00055048463
S0866,0.0032566446,0.0012962896,0.069029145,0.050255917,0.0017781536,0.0011459291,0.034532163,0.010115327,0.11249511,0.00055048463
S0867,0.0021038263,0.0013421228,0.0012587454,0.0035424612,0.0008604648,0.0012687613,0.005056231,0.01598542,0.0058174715,0.0008867523
S0868,0.02157818,0.072569415,0.0028741702,0.1470114,0.0011378764,0.4479302,0.18329173,0.04183004,0.07166013,0.0024449364
S0869,0.0035070193,0.00199842,0.0041106357,0.016960971,0.0008604648,0.94327503,0.01021276,0.0040042866,0.0089961905,0.9808333
S0870,0.005658497,0.98761624,0.0076039266,0.0029530185,0.0018944615,0.0026304615,0.03465371,0.005848139,0.011912648,0.0035209178
S0871,0.0023516158,0.00070826034,0.0033966575,0.006767914,0.0014870082,0.9981078,0.70562947,0.0011284589,0.0019850377,0.00070239825
S0872,0.0033900507,0.0007867928,0.0029018493,0.007105361,0.0010438613,0.0029590253,0.8557409,0.0021820872,0.0019094988,0.00065640814
