sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0022481498,0.0033267555,0.007056411,0.002771602,0.0009295187,0.0027366308,0.007179213,0.7541315,0.0029888803,0.0013154447
S0767,0.06025676,0.061742596,0.001866783,0.012592654,0.0008604648,0.004584349,0.006722999,0.15295477,0.022342497,0.00069187477
S0768,0.22227776,0.4066571,0.00089782773,0.009137761,0.0020179027,0.0045408923,0.12822038,0.96737087,0.030664133,0.00060508325
S0769,0.0043235384,0.0037058017,0.045624547,0.016169924,0.0008604648,0.9954209,0.010673689,0.0038553304,0.31403798,0.00361193
S0770,0.0022203266,0.0014513673,0.0040531885,0.47127393,0.0013448539,0.9954366,0.97386676,0.0012382157,0.0017840491,0.0016224742
S0771,0.045911055,0.0035449788,0.003067236,0.027054226,0.0008604648,0.017990898,0.038563833,0.07934065,0.010087682,0.0005872709
S0772,0.01029272,0.0012824477,0.021316638,0.030375885,0.0008604648,0.3048215,0.9482862,0.0040640864,0.0022387656,0.0010131154
S0773,0.0023921337,0.015199438,0.011662213,0.70838875,0.0008604648,0.2645495,0.023736415,0.005724528,0.003302099,0.0013886634
S0774,0.27970332,0.0013814061,0.0019636622,0.004639364,0.0008604648,0.00336184,0.0327066,0.078730166,0.0034838263,0.00071788026
S0775,0.031068152,0.0018225012,0.034153365,0.013949491,0.0008604648,0.0036409062,0.9391246,0.006371862,0.009037217,0.00060621666
S0776,0.011575311,0.0036074284,0.9373424,0.13700114,0.00095146673,0.0144598475,0.046646893,0.0067659626,0.0069467286,0.0007660165
S0777,0.0046276664,0.004348336,0.8533357,0.008034392,0.0008604648,0.004015727,0.053731102,0.02711858,0.004675181,0.0017341123
S0778,0.8613313,0.9564707,0.005050264,0.9095728,0.0008604648,0.9474005,0.5589512,0.75247526,0.69815034,0.0006189137
S0779,0.009992996,0.007046351,0.031402394,0.029263495,0.0019089037,0.3044254,0.0072985133,0.01276254,0.038788095,0.039098416
S0780,0.038871933,0.0021139001,0.0053690406,0.003637585,0.00095146673,0.99765885,0.88566875,0.0019033526,0.015552676,0.00065735757
S0781,0.002877705,0.0047533857,0.0034219152,0.0022736932,0.0008604648,0.00090156746,0.0070063826,0.008531793,0.003723776,0.00058842
S0782,0.027953064,0.010814066,0.017063053,0.005638638,0.15957926,0.07341855,0.06920021,0.082194224,0.01853228,0.023365188
S0783,0.0067475773,0.0012532962,0.0038810573,0.20179942,0.0010438613,0.5510839,0.2324813,0.0014062953,0.006601916,0.003986893
S0784,0.19886509,0.005540556,0.0023109557,0.002235416,0.0008604648,0.0038114437,0.006458969,0.097807236,0.0028163989,0.003050785
S0785,0.04322314,0.0030160535,0.0025978286,0.013701013,0.0008604648,0.00470314,0.0070481533,0.06705156,0.118024535,0.8909246
S0786,0.0009895142,0.0010588903,0.018258145,0.8731671,0.0008604648,0.9882002,0.9493553,0.0013041402,0.0014433607,0.000590402
S0787,0.0148091335,0.0012773455,0.46496654,0.17100742,0.0009295187,0.20836322,0.99279493,0.0021957492,0.0019020376,0.0018394312
S0788,0.98510563,0.9682755,0.009493171,0.9926358,0.0011378764,0.95479244,0.99177086,0.9918195,0.9638555,0.05429823
S0789,0.0054935194,0.0039016255,0.0012265852,0.00409232,0.0010438613,0.020409241,0.24441929,0.4035692,0.0076917633,0.0006685306
S0790,0.0018752705,0.0032083825,0.0021893377,0.014742057,0.0008604648,0.005912672,0.9956968,0.0015089378,0.0037986129,0.00056389807
S0791,0.0011023429,0.001461064,0.13399214,0.6915202,0.0020179027,0.32070914,0.98788923,0.0035034916,0.001843426,0.0016985954
S0792,0.015533546,0.0109527465,0.8511523,0.0048158187,0.0010438613,0.00444755,0.018097293,0.004409607,0.004363453,0.0006156801
S0793,0.015286897,0.06776012,0.0058305776,0.0058505675,0.969132,0.01493888,0.032285187,0.0025770562,0.18345186,0.035901263
S0794,0.0066405716,0.0076040775,0.0025661185,0.8216301,0.0017781536,0.0015898267,0.023838567,0.12518369,0.0029838218,0.0041423803
S0795,0.015662245,0.0022484227,0.0011880696,0.0015259433,0.0010438613,0.0034929814,0.94606626,0.005359812,0.002604872,0.00344661
