sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0021961953,0.0014748465,0.0051958314,0.0027776342,0.00064108364,0.0020935205,0.0058334474,0.061430637,0.0034454651,0.0015129463
S0767,0.013175105,0.0051113353,0.0009913368,0.005993656,0.00064108364,0.0023320809,0.009570155,0.027896663,0.0064824442,0.0006240913
S0768,0.96975535,0.0447074,0.0008163619,0.028486261,0.0014259585,0.0029151996,0.91858214,0.9839168,0.019614698,0.0008923472
S0769,0.00259336,0.0014957722,0.00650565,0.010505783,0.00064108364,0.9926645,0.007951249,0.0017165901,0.98233485,0.0010730482
S0770,0.0020178412,0.0016584211,0.005562524,0.9439501,0.00078359636,0.9967541,0.98996556,0.0007956386,0.0014296426,0.0008997645
S0771,0.017595403,0.003040479,0.0044547594,0.011490165,0.00064108364,0.014207519,0.02399413,0.028702112,0.013220202,0.00068972394
S0772,0.0046759867,0.001796989,0.007874877,0.009838826,0.00064108364,0.0044338577,0.9919992,0.0013153809,0.0012867863,0.0006809306
S0773,0.0017918472,0.007593193,0.004249217,0.08739841,0.00064108364,0.067241535,0.013101249,0.0077005066,0.0045672082,0.0018211276
S0774,0.96076715,0.0014871648,0.004187343,0.0021075294,0.00064108364,0.0026170313,0.009159966,0.023227928,0.0041441377,0.0005666456
S0775,0.011903733,0.00222705,0.0069265114,0.011798889,0.00064108364,0.0019398513,0.9894875,0.0029335455,0.007559426,0.00051199895
S0776,0.0072784685,0.0059573716,0.972549,0.010346856,0.0007772575,0.007336511,0.015228313,0.0037043712,0.007218165,0.0008687145
S0777,0.0028645683,0.004381702,0.96065164,0.0047187163,0.00074749533,0.0037719642,0.012170772,0.012815017,0.0031719047,0.0033596393
S0778,0.98006666,0.98204297,0.0017867406,0.97766006,0.00064108364,0.9859725,0.9754082,0.9809054,0.98105067,0.0005866692
S0779,0.010090792,0.003855521,0.0124431,0.013890016,0.0017041756,0.008311139,0.006451543,0.0045031332,0.9771065,0.024261774
S0780,0.012640836,0.00094042945,0.010258847,0.005677758,0.0007772575,0.9985184,0.96753913,0.0014305981,0.006051407,0.00055738207
S0781,0.0037767729,0.0024098826,0.0027776263,0.0023745028,0.00064108364,0.001136163,0.004791996,0.0017785759,0.0020399147,0.00075478066
S0782,0.9347232,0.008819809,0.0031824913,0.0065972926,0.01126421,0.015678551,0.025688216,0.017401068,0.0041130143,0.011520376
S0783,0.006899171,0.0011592546,0.0032084635,0.03502459,0.00064108364,0.9846334,0.02412971,0.001885444,0.89503825,0.0007778914
S0784,0.03508792,0.003688149,0.0015755714,0.002247568,0.00064108364,0.002616358,0.0025406482,0.9532925,0.0021597976,0.0016793254
