sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0025419367,0.0026238484,0.003992667,0.004320887,0.0010202753,0.003172167,0.01073649,0.41160706,0.0038568892,0.001229078
S0767,0.12675348,0.047380365,0.0014652649,0.019617505,0.00068799313,0.012151113,0.033735845,0.19071692,0.016120426,0.0006653582
S0768,0.26364392,0.17822972,0.0014325789,0.0035516447,0.0014853707,0.0052432218,0.18192056,0.878475,0.017055858,0.0010899418
S0769,0.00212256,0.0022795158,0.016218606,0.02881768,0.00068799313,0.96974885,0.0125637185,0.0030531613,0.95436794,0.0021345892
S0770,0.0027787478,0.0024744587,0.0038647566,0.2633645,0.0015476791,0.99392444,0.96823174,0.0010744674,0.0027088635,0.0006649535
S0771,0.04306213,0.056625888,0.00422614,0.047445554,0.002194002,0.47059226,0.093198076,0.19262609,0.05471636,0.0019798563
S0772,0.0071155713,0.003959661,0.02655828,0.030868398,0.00068799313,0.045987237,0.9739334,0.0038286136,0.0017615367,0.0006506029
S0773,0.0019088837,0.01614073,0.011249874,0.54303557,0.0013890371,0.6738759,0.034417827,0.007258279,0.010863215,0.0021005315
S0774,0.1741481,0.0012611925,0.0017808769,0.0015091944,0.00068799313,0.002057442,0.023424236,0.0678345,0.0031388754,0.00055958267
S0775,0.06053407,0.002190315,0.01048217,0.009307045,0.00068799313,0.017488094,0.93664765,0.009451635,0.005974836,0.00066396495
S0776,0.0077950684,0.0051935227,0.8586322,0.035043936,0.00072832726,0.017276116,0.011548903,0.003928574,0.011135236,0.0004708747
S0777,0.0106768,0.0062496667,0.74126005,0.008943735,0.0024716118,0.003492832,0.010291303,0.067932144,0.003983473,0.0029149877
S0778,0.9202907,0.8448338,0.0029401248,0.9115803,0.00077549485,0.8269786,0.80538255,0.8295128,0.7388758,0.0014469877
S0779,0.04224514,0.015452325,0.048031867,0.06622988,0.0010147991,0.029095335,0.020528689,0.009460692,0.30751497,0.06362341
S0780,0.0051322165,0.002603054,0.015842186,0.01056817,0.00078567944,0.9982158,0.73507017,0.0012352291,0.010132104,0.00067316263
S0781,0.0034131242,0.0022017374,0.009665898,0.0017894376,0.00068799313,0.0023824107,0.13787863,0.00263327,0.00414313,0.0010951238
S0782,0.02547129,0.0031431348,0.0016748003,0.0028687404,0.0011964923,0.0031757455,0.2514347,0.018984834,0.005399886,0.026235273
S0783,0.016942512,0.0014993957,0.005272251,0.03393714,0.00068799313,0.77607435,0.8960772,0.004184135,0.004763148,0.0018840868
