sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0021009513,0.0015477468,0.00742812,0.0021813242,0.0009152736,0.0030056115,0.0077302544,0.048689723,0.0032431632,0.0013925835
S0767,0.010814938,0.007111459,0.0020392546,0.0068811863,0.00047105626,0.0038992763,0.009901046,0.03438329,0.006408656,0.00048508137
S0768,0.9707263,0.026586672,0.0010635747,0.01861042,0.0010624516,0.0070207487,0.927802,0.98338175,0.011738237,0.0006139237
S0769,0.0026695582,0.0011706131,0.011236458,0.022002272,0.00047105626,0.98735505,0.023003971,0.0014671386,0.9731644,0.0011073537
S0770,0.0021957972,0.0012349196,0.0047922917,0.9325308,0.0012123061,0.9956423,0.9866556,0.00082885317,0.0018723703,0.00071546796
S0771,0.027410295,0.020738335,0.0022211834,0.04810665,0.0012675462,0.048694395,0.03090049,0.050863106,0.016572516,0.0005973075
S0772,0.0059818183,0.0015027298,0.008738442,0.01713772,0.00047105626,0.011162199,0.9861942,0.0018979423,0.0011438151,0.0009771883
S0773,0.0023490186,0.011079817,0.009559304,0.080365896,0.0010712831,0.094467,0.019851869,0.0071271625,0.004652327,0.0012519676
S0774,0.9602669,0.0015767119,0.0017859455,0.002669727,0.00047105626,0.0017502751,0.015269559,0.032518305,0.0025708803,0.0011796228
S0775,0.01915884,0.0013955993,0.0058378903,0.0073486087,0.00047105626,0.0060409447,0.9817463,0.0024539954,0.007941536,0.0004720384
S0776,0.007008271,0.0064053806,0.96458447,0.0106443735,0.00052717305,0.010104443,0.0066591743,0.0025283152,0.005406323,0.00045369816
S0777,0.0024179916,0.004248398,0.93959075,0.003952797,0.0013936714,0.0019747673,0.0060964613,0.018521843,0.0028159742,0.0040266584
S0778,0.9797243,0.9863891,0.0021398163,0.97864157,0.0006265497,0.972949,0.98079747,0.97324365,0.9772704,0.00048508137
S0779,0.003959804,0.0044632433,0.010036291,0.02475081,0.0007890317,0.0097728735,0.0061831404,0.0037317665,0.9624822,0.009620219
