sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0032224061,0.0023011314,0.0061338088,0.0037738748,0.0025669106,0.004135847,0.004172477,0.6737025,0.0019129161,0.0014377176
S0767,0.09042251,0.025764959,0.0016447877,0.05198321,0.0006093755,0.0026583134,0.008281273,0.27737868,0.003570611,0.00096537644
S0768,0.16495763,0.1276626,0.0035955566,0.0037391274,0.0013877684,0.004786805,0.0755034,0.9125288,0.14944157,0.0010260087
S0769,0.04238294,0.0017757127,0.47115085,0.061627354,0.000796815,0.9500841,0.008331775,0.0017758445,0.9811998,0.0029994764
S0770,0.0017976013,0.0013335948,0.0072232964,0.50772226,0.0028477167,0.98898214,0.9488836,0.0013103199,0.004016667,0.0005731447
S0771,0.14152414,0.014955197,0.009355992,0.060531415,0.0050283447,0.67065006,0.07371204,0.12782666,0.0123288175,0.0009861201
S0772,0.058528252,0.002462618,0.016898911,0.014986727,0.0006093755,0.0266257,0.9597991,0.005001326,0.0016195294,0.00066122843
S0773,0.009433397,0.012922736,0.030801632,0.5746354,0.0027545504,0.1775125,0.04136347,0.010330541,0.0029134469,0.0015807165
S0774,0.21331975,0.0014159752,0.030549143,0.0016343691,0.0006093755,0.0029089223,0.0925636,0.15039767,0.0036685297,0.0011898193
S0775,0.062233508,0.004651709,0.00426359,0.004963644,0.000796815,0.021126863,0.9202469,0.0072788647,0.0030546845,0.0005533651
S0776,0.03906068,0.0043652435,0.9555979,0.1478736,0.0006727271,0.15515421,0.029671114,0.0041893874,0.010883852,0.00073322095
S0777,0.0031458223,0.098807275,0.8596682,0.017803296,0.0032476273,0.0040536774,0.026536645,0.03322933,0.010289744,0.0026660997
S0778,0.8833703,0.823635,0.006576294,0.79824024,0.0007241612,0.8771099,0.83351594,0.69404995,0.29441953,0.00091438193
S0779,0.011028638,0.009775625,0.20575325,0.035196245,0.0022795028,0.006000364,0.01628461,0.015733447,0.028628752,0.117373556
S0780,0.6146183,0.0073188175,0.038193002,0.010506437,0.0011697938,0.9967583,0.71329194,0.0013346138,0.0030575595,0.00062565703
S0781,0.004229418,0.0088005625,0.008842861,0.0026198644,0.00064201053,0.0076009007,0.1847626,0.004777231,0.0043551996,0.0011700233
S0782,0.025229594,0.024802923,0.0017799869,0.006085921,0.003033699,0.009612452,0.16137116,0.027738018,0.0071557825,0.04003197
S0783,0.03959685,0.0014717556,0.0045831003,0.029386882,0.0006727271,0.45383596,0.83616894,0.002873823,0.04083506,0.0015839468
S0784,0.8694606,0.0023555502,0.0031802803,0.001956515,0.0006093755,0.01562297,0.006984157,0.49628535,0.009003866,0.0022861757
S0785,0.8157845,0.33063373,0.0049821585,0.01838445,0.0006093755,0.0036523426,0.009893214,0.2089878,0.2023594,0.4784839
S0786,0.001484352,0.0010042341,0.012907423,0.75771374,0.000796815,0.98414004,0.98609746,0.0014482298,0.0011061218,0.0005438534
S0787,0.0034419405,0.0020722167,0.36711374,0.14560448,0.0011739375,0.8713195,0.95750004,0.014121099,0.0014241711,0.00053796254
S0788,0.9639411,0.9827188,0.0026431205,0.9875279,0.0006093755,0.89354944,0.9918094,0.97650605,0.98035645,0.006868421
S0789,0.0051537645,0.0029287725,0.0048469296,0.00481928,0.0006093755,0.025844138,0.43050575,0.15794317,0.0024936574,0.00078290666
S0790,0.0013310227,0.0053791003,0.0037332862,0.005554664,0.0006093755,0.026118957,0.99474674,0.0014845683,0.0018512028,0.0005299389
S0791,0.002233136,0.0012491054,0.47004735,0.7115613,0.0011739375,0.3914071,0.9420143,0.00249716,0.0010429592,0.0005367205
S0792,0.0777092,0.0040515587,0.6473842,0.018295482,0.0006093755,0.11860506,0.011029783,0.008183992,0.0034589102,0.0006118273
S0793,0.0032660258,0.046719637,0.015709762,0.003042022,0.0031430377,0.0035841882,0.0029930053,0.0030029193,0.039833095,0.00087115646
S0794,0.0026728674,0.01454911,0.0026670634,0.8520214,0.0006093755,0.0042274524,0.019859638,0.16768377,0.004317934,0.0019359796
S0795,0.008583437,0.0016396794,0.0018986731,0.0017354342,0.0006093755,0.002954017,0.97959536,0.002417772,0.0030727102,0.0022347367
