sample_id,basalt,carbonate,chloride,iron_oxide,oxalate,oxychlorine,phyllosilicate,silicate,sulfate,sulfide
S0766,0.0022352438,0.0037274167,0.0021657313,0.011186989,0.0006484876,0.0047230134,0.012788671,0.36336583,0.002619558,0.0050662775
S0767,0.008357639,0.0024935128,0.0023874922,0.0024701005,0.0006484876,0.0059548444,0.052062068,0.110429324,0.013280529,0.0007560491
S0768,0.4965265,0.5401166,0.0011279307,0.030889574,0.0015356307,0.016763415,0.26663935,0.22781229,0.0132373385,0.0019145792
S0769,0.012699669,0.0023467287,0.47984597,0.046039503,0.0006484876,0.88695705,0.050346762,0.0016124448,0.5192179,0.0017537978
S0770,0.0025504648,0.0029421942,0.00522875,0.1424537,0.0008322452,0.9648667,0.82174265,0.0010072006,0.0015771519,0.0008785638
S0771,0.005436245,0.0062089963,0.0013978973,0.02447108,0.0016908434,0.0016571364,0.108394735,0.41391075,0.021262877,0.0012227818
S0772,0.012824251,0.0012134406,0.12648094,0.035029948,0.0006484876,0.024392594,0.9367694,0.0011121734,0.0050825295,0.0008178592
S0773,0.0020297968,0.19332667,0.017419953,0.039544012,0.0016908434,0.008705942,0.093992375,0.01959401,0.0073166597,0.0026671675
S0774,0.048244175,0.0036890516,0.00228743,0.013815944,0.0006484876,0.0043686246,0.23134282,0.019674018,0.0031788491,0.0009502337
S0775,0.00574307,0.0017367781,0.011318438,0.01736873,0.0006484876,0.014346089,0.98625803,0.0044388766,0.007572423,0.0010848194
S0776,0.00939844,0.0010370417,0.17328666,0.086118124,0.0006484876,0.19080214,0.012531938,0.0017578262,0.0060904543,0.0011016846
S0777,0.0047002234,0.009226014,0.8012932,0.016653674,0.0006918454,0.007144602,0.011164736,0.013590381,0.009165361,0.0019168414
S0778,0.117723666,0.08058961,0.007865706,0.034629263,0.0007800954,0.07116362,0.07512848,0.049294386,0.024473472,0.0013318888
S0779,0.04623379,0.008617136,0.06592471,0.4189317,0.0007800954,0.029071236,0.012555309,0.011845298,0.9244616,0.0072886324
S0780,0.030138087,0.002115323,0.012497759,0.008658827,0.0006484876,0.9966718,0.59120446,0.0012588882,0.0069463537,0.0008868555
S0781,0.04426355,0.003749955,0.0116236275,0.054474484,0.0006950499,0.09030835,0.059827212,0.096816145,0.03902503,0.002827899
S0782,0.052504465,0.010434308,0.0054232767,0.012611856,0.0017963963,0.06973103,0.08084657,0.010142248,0.020669874,0.015040616
S0783,0.07759969,0.0026015923,0.0047408915,0.15881625,0.0009726217,0.077136315,0.5866281,0.04115933,0.27277488,0.009317043
S0784,0.1745178,0.0010933477,0.0028189912,0.00432242,0.0006484876,0.0026257918,0.0042310352,0.026233234,0.0028172415,0.002651711
S0785,0.31811333,0.03107132,0.0021847945,0.060327128,0.0012228051,0.0060052923,0.021287953,0.00695151,0.030544968,0.37729192
S0786,0.0014936237,0.0021015082,0.017877165,0.85081697,0.0006484876,0.97496176,0.9505796,0.0011471966,0.00073959515,0.0011624448
S0787,0.007164424,0.0063486546,0.37176776,0.2323014,0.001247584,0.2827022,0.99302447,0.0015387719,0.0020320062,0.002532665
S0788,0.9635694,0.6963789,0.0015083345,0.47346455,0.0006484876,0.47956595,0.9222874,0.87658167,0.21518485,0.0014698685
S0789,0.03533606,0.029511265,0.0009972075,0.072467156,0.0008153633,0.1620064,0.11710922,0.63562655,0.023314686,0.002575798
S0790,0.0034695773,0.0017372031,0.008820475,0.0038857702,0.0006484876,0.007811053,0.99624395,0.0010957061,0.0014480781,0.00075076026
S0791,0.005969212,0.0049821422,0.2294799,0.84814876,0.06616241,0.1306451,0.9928681,0.0013431842,0.0033983707,0.0015966129
S0792,0.0072469427,0.046898853,0.40273333,0.038383182,0.0007800954,0.0046566064,0.040425226,0.004461271,0.010922544,0.00069773477
S0793,0.006448512,0.030628374,0.024429312,0.05233463,0.002702641,0.035801034,0.13258661,0.006647823,0.015456033,0.0051505454
S0794,0.001607922,0.0024086998,0.00411591,0.62482154,0.0012935989,0.001667056,0.010061207,0.45215672,0.0021303024,0.0016677204
